DriverNumber,Driver,Team,LapNumber,LapTime,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,Position
1,19,8,52.0,76.328,2.0,19.804,36.13,20.394,205.0,195.0,266.0,282.0,1,24.0,True,False,1.0
1,19,8,53.0,77.547,2.0,19.853,37.06,20.634,199.0,186.0,266.0,281.0,1,25.0,True,False,1.0
1,19,8,54.0,75.872,2.0,19.944,36.007,19.921,204.0,197.0,257.0,275.0,1,26.0,True,False,1.0
1,19,8,55.0,75.62,2.0,19.683,36.003,19.934,209.0,197.0,256.0,274.0,1,27.0,True,False,1.0
1,19,8,56.0,75.33,2.0,19.636,35.81,19.884,206.0,199.0,256.0,273.0,1,28.0,True,False,1.0
1,19,8,57.0,75.418,2.0,19.747,35.825,19.846,210.0,200.0,257.0,273.0,1,29.0,True,False,1.0
1,19,8,58.0,75.247,2.0,19.544,35.89,19.813,208.0,199.0,258.0,274.0,1,30.0,True,False,1.0
1,19,8,59.0,75.35,2.0,19.588,35.921,19.841,197.0,199.0,258.0,274.0,1,31.0,True,False,1.0
1,19,8,60.0,75.088,2.0,19.61,35.657,19.821,197.0,200.0,258.0,275.0,1,32.0,True,False,1.0
1,19,8,61.0,75.064,2.0,19.641,35.644,19.779,209.0,200.0,258.0,275.0,1,33.0,True,False,1.0
1,19,8,62.0,75.13,2.0,19.451,35.86,19.819,211.0,200.0,258.0,275.0,1,34.0,True,False,1.0
1,19,8,63.0,75.088,2.0,19.516,35.85,19.722,207.0,201.0,259.0,275.0,1,35.0,True,False,1.0
1,19,8,64.0,75.24,2.0,19.466,36.021,19.753,208.0,201.0,258.0,275.0,1,36.0,True,False,1.0
1,19,8,65.0,75.122,2.0,19.503,35.887,19.732,210.0,199.0,259.0,275.0,1,37.0,True,False,1.0
1,19,8,66.0,75.214,2.0,19.485,35.975,19.754,205.0,198.0,258.0,277.0,1,38.0,True,False,1.0
1,19,8,67.0,75.551,2.0,19.662,35.956,19.933,203.0,199.0,259.0,277.0,1,39.0,True,False,1.0
1,19,8,68.0,76.273,2.0,19.739,36.508,20.026,205.0,198.0,259.0,279.0,1,40.0,True,False,1.0
1,19,8,69.0,76.063,2.0,19.746,36.449,19.868,203.0,198.0,260.0,279.0,1,41.0,True,False,1.0
1,19,8,70.0,75.812,2.0,19.745,36.327,19.74,197.0,198.0,260.0,280.0,1,42.0,True,False,1.0
1,19,8,71.0,76.058,2.0,19.778,36.396,19.884,201.0,195.0,260.0,280.0,1,43.0,True,False,1.0
1,19,8,72.0,76.072,2.0,19.879,36.242,19.951,203.0,195.0,259.0,280.0,1,44.0,True,False,1.0
1,19,8,73.0,76.221,2.0,19.818,36.413,19.99,201.0,199.0,260.0,281.0,1,45.0,True,False,1.0
1,19,8,74.0,76.349,2.0,20.007,36.387,19.955,204.0,198.0,259.0,281.0,1,46.0,True,False,1.0
1,19,8,75.0,76.344,2.0,19.87,36.434,20.04,197.0,196.0,259.0,280.0,1,47.0,True,False,1.0
1,19,8,76.0,76.468,2.0,19.865,36.47,20.133,206.0,200.0,260.0,280.0,1,48.0,True,False,1.0
1,19,8,77.0,93.332,2.0,19.91,36.656,36.766,202.0,194.0,259.0,281.0,1,49.0,True,False,4.0
1,19,8,78.0,77.77,3.0,22.061,35.599,20.11,189.0,195.0,226.0,280.0,2,4.0,False,False,4.0
10,6,0,1.0,112.223,1.0,20.229,40.955,39.268,158.0,180.0,259.0,279.0,1,7.0,False,False,18.0
10,6,0,2.0,108.974,2.0,31.384,48.802,28.788,150.0,103.0,166.0,249.0,1,1.0,True,False,18.0
10,6,0,3.0,108.723,2.0,30.81,48.939,28.974,163.0,143.0,238.0,256.0,1,2.0,True,True,18.0
10,6,0,4.0,91.509,2.0,31.667,39.044,20.798000000000002,150.0,186.0,262.0,277.0,1,3.0,True,True,18.0
10,6,0,5.0,78.864,2.0,21.094,37.068,20.701999999999998,189.0,184.0,263.0,280.0,1,4.0,True,True,18.0
10,6,0,6.0,78.054,2.0,20.587,36.799,20.668,185.0,187.0,264.0,282.0,1,5.0,True,True,18.0
10,6,0,7.0,79.262,2.0,20.844,37.141,21.277,192.0,183.0,264.0,282.0,1,6.0,True,False,18.0
12,2,6,1.0,94.721,1.0,20.229,40.866,22.426,156.0,176.0,255.0,279.0,0,1.0,True,False,14.0
12,2,6,2.0,111.408,1.0,39.052,48.171,24.185,60.0,177.0,122.0,257.0,0,2.0,True,True,14.0
12,2,6,3.0,108.871,1.0,31.739,47.91,29.222,113.0,150.0,154.0,235.0,0,3.0,True,True,14.0
12,2,6,4.0,96.575,1.0,30.84,44.027,21.708,83.0,178.0,263.0,258.0,0,4.0,True,True,14.0
12,2,6,5.0,80.377,1.0,21.314,37.578,21.485,178.0,181.0,264.0,277.0,0,5.0,True,True,14.0
12,2,6,6.0,80.757,1.0,21.476,37.739,21.542,172.0,180.0,266.0,269.0,0,6.0,True,False,14.0
12,2,6,7.0,81.194,1.0,21.573,37.746,21.875,169.0,180.0,266.0,275.0,0,7.0,True,False,14.0
12,2,6,8.0,80.877,1.0,21.393,37.795,21.689,178.0,178.0,258.0,278.0,0,8.0,True,False,14.0
12,2,6,9.0,83.326,1.0,20.97,40.05,22.306,181.0,170.0,262.0,261.0,0,9.0,True,False,14.0
12,2,6,10.0,81.523,1.0,21.258,38.634,21.631,174.0,178.0,265.0,255.0,0,10.0,True,False,14.0
12,2,6,11.0,79.894,1.0,21.213,37.509,21.172,181.0,183.0,260.0,278.0,0,11.0,True,True,14.0
12,2,6,12.0,79.788,1.0,20.978,37.394,21.416,175.0,180.0,269.0,277.0,0,12.0,True,True,13.0
12,2,6,13.0,78.868,1.0,20.856,36.97,21.042,181.0,184.0,268.0,277.0,0,13.0,True,True,13.0
