model,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,cv_rmse_mean,cv_rmse_std
Linear_Regression,1.144622668755175e-14,1.0090029403069364e-14,7.193511167819197e-15,6.342034335709985e-15,1.0,1.0,1.1380336045131178e-14,1.5798831003899398e-15
Ridge_Regression,0.018491317265131667,0.019687506149619487,0.011552372180963623,0.011059101380875661,0.9999884779807656,0.9999734743390494,0.05997066111656927,0.0700461414747625
Random_Forest,0.31448631999656035,0.48751351355301215,0.0924581438695933,0.1668790319346941,0.9966672985310654,0.9837348483161984,1.0691821870422906,0.6780579830122987
Lasso_Regression,1.2036729937446708,0.9885305947267491,0.6947313360193265,0.6453244034657613,0.9511786337466235,0.9331248096933933,1.4766429788496387,0.9026304153745432
SVR,4.6159918256718,2.9395603197959153,0.6592149504008958,0.4755082269582307,0.28200245735867124,0.4086432569410686,3.7936573765674764,2.9598211977303874
