model,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,cv_rmse_mean,cv_rmse_std
ElasticNet,0.3522765036365959,0.3498377046191004,0.18519159788174192,0.18763495065375912,0.9958182289634205,0.9916243594611147,0.45440323898584073,0.1670782169062243
Ensemble_Voting,0.08840450183270446,0.3646317004145639,0.04753703631046579,0.12719486557426268,0.9997366449454574,0.9909010003970852,0.7301233334853355,0.4065001304780278
XGBoost_Advanced,0.017584968530584555,0.37677506043059594,0.013582528547807183,0.13642096855226604,0.999989579799233,0.9902848592490657,1.1176537181762334,0.8590678898589934
GradientBoosting,0.006953227603020952,0.4404138151270401,0.005444883679184801,0.14832688933952856,0.999998370832316,0.9867258516181224,0.7875421421470475,0.44065154559879244
Bagging_RF,0.4921575420832185,0.4566044508412244,0.1383423471074393,0.16251853719008202,0.991837913642615,0.9857319349161214,1.2589634102513552,0.8376814449376159
ExtraTrees,0.11244260368488584,0.46147753666786623,0.08385579780811327,0.1732101726548462,0.9995739557752471,0.9854257594922363,0.7330959889758317,0.37061812057820226
KNN,2.4456716100984046e-07,1.384304329714048,5.957057359058235e-08,0.5198654290556554,0.999999999999998,0.8688561421539858,2.024012832650718,0.9263850376360148
