,DriverNumber,Driver,Team,LapNumber,LapTime,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Position,lap_delta,position_change,cumulative_position_change,pit_stop_count,laps_in_stint,tyre_age_normalized,leader_lap_time,gap_to_leader,car_ahead_time,car_behind_time,gap_to_ahead,gap_to_behind,lap_time_percentile,team_avg_lap_time,gap_to_teammate,rolling_avg_lap_time_3,rolling_std_lap_time_3,rolling_avg_lap_time_5,rolling_std_lap_time_5,rolling_avg_lap_time_10,rolling_std_lap_time_10,rolling_avg_position_3,rolling_avg_position_5,rolling_std_sector1time_5,rolling_std_sector2time_5,rolling_std_sector3time_5,laps_completed,personal_bests_count,team_avg_position,team_best_position,best_lap_so_far,worst_lap_so_far,avg_lap_so_far,best_position_so_far,worst_position_so_far,race_progress,race_phase_encoded,compound_age_ratio,fresh_tyre_numeric,speed_consistency,max_speed,min_speed,speed_range,speed_i1_to_fl_ratio,speed_improvement,driver_team_encoded,compound_life_interaction,position_stint_interaction
count,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0
mean,28.589722675367046,7.49673735725938,4.064437194127243,39.247960848287114,111.47163539967374,2.1508972267536706,21.003613376835236,37.54803996737357,21.67926753670473,191.04404567699837,180.20146818923328,258.65497553017946,275.4877650897227,0.38825448613376834,33.39559543230016,8.52446982055465,-31.497305872756932,0.048939641109298535,3.699836867862969,1.1508972267536706,32.51141924959217,0.523083174143597,108.86535970636214,2.6062756933115847,104.27718026101141,104.48470717781403,0.20752691680261026,0.20752691680261026,0.531810766721044,111.47163539967372,-2.6659841635370806e-16,137.79347906470906,40.904262107300106,152.13123068243613,70.6449029360322,172.8117357660737,126.8517290384042,8.565252854812398,8.587275693311582,0.42607311485685295,0.7815386035446261,1.2564714264571766,38.81402936378466,12.553017944535073,8.52446982055465,7.291190864600326,110.53569657422514,2490.6256753670473,237.18690778954033,8.261011419249591,12.247960848287113,0.5031789852344501,1.0195758564437194,0.42272905610506534,0.5114192495921697,48.478888636263626,276.2903752039152,179.0016313213703,97.28874388254486,0.7380091066329972,67.61092985318108,7.504078303425775,11.022022838499185,18.937194127243067
std,26.06614240743461,4.608642010745397,2.4361075445688485,22.14852682993668,273.76852467412124,0.4472902660265465,0.9787731015296942,2.2897680083971075,3.968986096226485,11.905259394561273,14.836448151799273,12.11068189823418,12.246392770896165,0.5414951821824427,21.561400435667707,4.634543405323026,270.2450019023121,0.48576774624567837,1.3472693373055487,0.4472902660265465,21.4965842589099,0.28821158879974096,270.0737149431529,5.229346512637827,266.2146770733682,266.709792988666,2.129055900304601,2.129055900304601,0.2882071528216887,273.76428389948455,1.5237989524038078,317.3964288592164,245.47774802525697,326.99181715863057,301.2657396395328,332.1305801846542,358.2927998896133,4.6440806001639885,4.646478524259292,0.6810824312399821,1.9635426243643495,4.499075720130341,22.12951853907766,5.559404889132503,4.37942927093114,4.2438954825016735,273.8742020174496,22.190328647441625,317.3695622074514,4.316317056864532,5.107866674152221,0.28395547217867545,0.812921252528516,0.2729291194388318,0.5000735705104082,6.552440009731087,6.01050960027729,15.855418097637912,14.844604177828089,0.06787545762659467,16.026493716622888,4.614482933289349,19.238914759655078,12.661371881299814
min,1.0,0.0,0.0,1.0,74.165,1.0,19.343,34.842,19.7,96.0,57.0,106.0,108.0,0.0,1.0,1.0,-2414.1220000000003,-5.0,-1.0,0.0,1.0,0.0131578947368421,74.165,0.0,0.0,0.0,-16.569000000000003,-16.569000000000003,0.0625,74.569,-14.408500000000004,74.85166666666667,0.0,74.981,0.0,75.3554,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,74.165,2456.33,109.32074025974026,1.0,1.0,0.0128205128205128,0.0,0.0126582278481012,0.0,29.93882651897588,234.0,57.0,67.0,0.3582089552238806,-75.0,0.0,0.0,1.0
25%,10.0,4.0,2.0,20.0,78.30850000000001,2.0,20.503,36.7135,20.8935,186.0,176.0,256.0,274.0,0.0,15.0,5.0,-0.5117499999999993,0.0,4.0,1.0,14.0,0.27472293265132136,75.468,0.7164999999999999,78.04975,78.09649999999999,-0.20525000000000296,-0.20525000000000296,0.303125,78.3325,-0.21612499999999452,78.42191666666666,0.22022147480912307,78.57204999999999,0.29911145689122215,78.702825,0.43045624624239265,5.0,5.0,0.11708191469659343,0.1682269205405851,0.11863588531523013,20.0,10.0,6.0,5.0,77.172,2468.042,122.42806818181818,5.0,8.0,0.2564102564102564,0.0,0.189873417721519,0.0,44.778389358236886,274.0,175.0,90.0,0.7116104868913857,60.0,4.0,0.0,8.0
50%,22.0,7.0,4.0,39.0,79.602,2.0,20.942500000000003,37.292,21.2755,193.0,182.0,259.0,278.0,0.0,31.0,9.0,-0.0789999999999935,-0.0,4.0,1.0,30.0,0.5247252747252747,77.885,1.7979999999999947,79.27600000000001,79.482,0.018500000000003,0.018500000000003,0.5590277777777778,79.6155,0.0,79.767,0.37571570682098,79.9181,0.49375403773274934,80.10645000000001,0.712056307090775,9.0,9.0,0.17930617019222533,0.26644211367712856,0.17758559937312196,39.0,13.0,10.0,8.0,78.64,2488.609,143.50557500000002,9.0,12.0,0.5,1.0,0.3924050632911392,1.0,47.346242371139304,278.0,181.0,95.0,0.7423076923076923,66.0,8.0,0.0,18.0
75%,52.25,11.0,6.0,58.0,80.97725,2.0,21.3275,37.916,21.68875,198.0,188.0,264.0,280.0,1.0,50.75,13.0,0.28474999999999895,-0.0,4.0,1.0,50.0,0.7757852292020373,78.618,2.9297500000000056,80.84,80.94175,0.3689999999999998,0.3689999999999998,0.7944444444444445,80.886875,0.21612499999999807,81.05391666666667,0.74430289333617,81.08680000000001,1.0134388682218316,81.25295,1.6032515913800758,13.0,13.0,0.3476073976904579,0.46093649572257167,0.31279157113495804,58.0,16.0,11.5,11.0,80.246,2507.607,205.84273486842105,12.0,16.0,0.7435897435897436,2.0,0.6424050632911392,1.0,51.04389245128765,280.0,187.0,101.0,0.7640208323286879,75.0,11.75,15.75,24.0
max,81.0,15.0,8.0,78.0,2526.253,4.0,28.552,63.149,81.264,214.0,199.0,274.0,289.0,2.0,78.0,20.0,31.070000000000007,4.0,6.0,3.0,76.0,1.0,2456.33,69.92300000000023,2521.748,2526.253,28.570000000000007,28.570000000000007,1.0,2524.0005,14.408500000000004,2526.253,1707.0420368116306,2526.253,1707.0420368116306,2526.253,1707.0420368116306,20.0,20.0,5.380729051439031,17.12046938608869,42.4182751432092,77.0,26.0,19.5,19.0,2526.253,2526.253,2526.253,20.0,20.0,1.0,2.0,0.9873417721518988,1.0,99.01977916894516,289.0,199.0,215.0,1.691588785046729,171.0,15.0,77.0,64.0
