DriverNumber,Driver,Team,LapNumber,LapTime,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,Position,lap_delta,position_change,cumulative_position_change,pit_stop,pit_stop_count,laps_in_stint,tyre_age_normalized,rolling_avg_lap_time_3,rolling_std_lap_time_3,rolling_avg_lap_time_5,rolling_std_lap_time_5,rolling_avg_lap_time_10,rolling_std_lap_time_10,rolling_avg_position_3,rolling_avg_position_5,rolling_std_sector1time_5,rolling_std_sector2time_5,rolling_std_sector3time_5,laps_completed,personal_bests_count,race_progress,race_phase,race_phase_encoded,fresh_tyre_numeric,speed_consistency,max_speed,min_speed,speed_range,speed_i1_to_fl_ratio,speed_improvement,position_stint_interaction
23,0,8,12.0,80.821,2.0,21.144,38.254,21.423,193.0,177.0,264.0,278.0,0,11.0,True,9.0,-0.6929999999999978,-0.0,4.0,False,1,11,0.1447368421052631,81.29899999999999,0.4146552780943009,81.48740000000001,0.4241459649797394,82.7255,2.0095889159193305,9.0,9.0,0.2800594579727667,0.0992244929437698,0.1261653676726168,12,6,0.1538461538461538,0,0,1,50.40502620440412,278.0,177.0,101.0,0.7283018867924528,71.0,18.0
23,0,8,13.0,81.42,2.0,21.388,38.0,22.032,174.0,174.0,256.0,278.0,0,12.0,True,9.0,0.5990000000000038,-0.0,4.0,False,1,12,0.1578947368421052,81.25166666666667,0.3759179870460924,81.4642,0.4239955183826699,82.0841,0.933312315172388,9.0,9.0,0.2857113928424979,0.1630506056411564,0.2369930378723534,13,6,0.1666666666666666,0,0,1,54.439568942697065,278.0,174.0,104.0,0.6770428015564203,82.0,18.0
23,0,8,14.0,80.591,2.0,21.387,37.838,21.366,171.0,171.0,262.0,278.0,0,13.0,True,9.0,-0.8290000000000077,-0.0,4.0,False,1,13,0.1710526315789473,80.944,0.4279684563742761,81.1816,0.4446541348155038,81.8146,0.9367869672966552,9.0,9.0,0.2366036770635679,0.2071212205447493,0.2681898581228728,14,7,0.1794871794871795,0,0,1,57.529702473302144,278.0,171.0,107.0,0.6501901140684411,91.0,18.0
23,0,8,15.0,80.591,2.0,21.041,37.916,21.634,189.0,162.0,256.0,279.0,0,14.0,True,9.0,0.0,-0.0,4.0,False,1,14,0.1842105263157894,80.86733333333332,0.4786233727939913,80.9874,0.4490003336396104,81.5368,0.8304909925842101,9.0,9.0,0.2006297585105518,0.2092706381696818,0.2624229410702629,15,7,0.1923076923076923,0,0,1,55.054518434003214,279.0,162.0,117.0,0.7354085603112841,67.0,18.0
23,0,8,16.0,80.793,2.0,21.381,38.071,21.341,176.0,175.0,256.0,273.0,0,15.0,True,9.0,0.2020000000000124,-0.0,4.0,False,1,15,0.1973684210526315,80.65833333333332,0.1166247528813755,80.8432,0.3401914161298749,81.2745,0.5313787620553535,9.0,9.0,0.1644952886863405,0.159380676369328,0.2883673005040049,16,7,0.2051282051282051,0,0,1,51.85235449491823,273.0,175.0,98.0,0.6848249027237354,80.0,18.0
23,0,8,17.0,81.137,2.0,21.234,38.326,21.577,177.0,170.0,255.0,272.0,0,16.0,True,9.0,0.3439999999999941,-0.0,4.0,False,1,16,0.2105263157894736,80.84033333333333,0.2760603792373861,80.90639999999999,0.3635846526030281,81.1969,0.482156832354052,9.0,9.0,0.1519529532454114,0.1871208165863568,0.2782292220453606,17,7,0.2179487179487179,0,0,1,52.50079364479487,272.0,170.0,102.0,0.69140625,78.0,18.0
23,0,8,18.0,80.042,2.0,21.154,37.654,21.234,193.0,180.0,256.0,277.0,0,17.0,True,9.0,-1.0949999999999989,-0.0,4.0,False,1,17,0.2236842105263158,80.65733333333333,0.559964581901966,80.6308,0.3976181580466339,81.04749999999999,0.58574534653352,9.0,9.0,0.1487625624947438,0.2533416665294969,0.1685654175682784,18,8,0.2307692307692307,0,0,1,47.275786614291256,277.0,180.0,97.0,0.7509727626459144,63.0,18.0
23,0,8,19.0,80.245,2.0,21.25,37.787,21.208,185.0,174.0,257.0,275.0,0,18.0,True,9.0,0.2030000000000029,-0.0,4.0,False,1,18,0.2368421052631578,80.47466666666666,0.5825086548581017,80.5616,0.4346594064418502,80.8716,0.5278451371031335,9.0,9.0,0.125592595323143,0.2604586339516179,0.1962006625879959,19,8,0.2435897435897435,0,0,1,50.67790445549224,275.0,174.0,101.0,0.7170542635658915,72.0,18.0
23,0,8,20.0,80.36,2.0,21.177,37.505,21.678,183.0,165.0,261.0,281.0,0,19.0,True,9.0,0.1149999999999948,-0.0,4.0,False,1,19,0.25,80.21566666666666,0.1610165612119701,80.5154,0.4429506740127753,80.7514,0.4885564221789526,9.0,9.0,0.0885703110528724,0.3298094904637235,0.2098959265921292,20,8,0.2564102564102564,0,0,1,57.0701322935211,281.0,165.0,116.0,0.6984732824427481,78.0,18.0
23,0,8,21.0,80.937,2.0,21.465,38.094,21.378,193.0,174.0,257.0,274.0,0,20.0,True,9.0,0.5769999999999982,-0.0,4.0,False,1,20,0.2631578947368421,80.51400000000001,0.3708139690616758,80.5442,0.4694035573026456,80.6937,0.4173703523079045,9.0,9.0,0.1233349098998429,0.333478185193487,0.2076005780338014,21,8,0.2692307692307692,0,0,1,48.47336038141637,274.0,174.0,100.0,0.748062015503876,64.0,18.0
